Rex,Cf,Cf_analit,Cf_analit_turb
0.0007659121507160183,11.635212815642385,11.99633552468547,0.12429564695639492
0.0016119556585182133,9.099580208376656,8.269162722238425,0.10710779848724333
0.0025465140362970254,7.0930257491970865,6.579078169905852,0.09774678822201041
0.0035788478978799037,5.742431549420305,5.54966110223413,0.09131519751507358
0.004719186722195539,4.895780896560371,4.8328632111039225,0.0864009024777768
0.00597883021799999,4.313084149781554,4.293682957407616,0.08240782784355578
0.007370260293595903,3.8658044006137238,3.86720033518531,0.07903057575111985
0.008907264741061733,3.504684901689279,3.5177575467447153,0.07609267275190919
0.010605073860587913,3.204878440407581,3.2238975701095676,0.07348335416242043
0.012480511378741446,2.9501753448533914,2.971815841531388,0.07112875955970367
0.01455216115612012,2.7297382825340937,2.752164165899197,0.06897730338217689
0.016840551336315797,2.53617958129496,2.558349836268877,0.06699161535024133
0.019368357760933676,2.364243758803079,2.3855673623225977,0.06514380943569235
0.022160628666323172,2.210059843891492,2.230216607086669,0.06341256138678664
0.025245032888558387,2.0707024776285228,2.0895372289050984,0.061781226086862435
0.028652134036151147,1.9439117674432282,1.961370308634195,0.06023658137290828
0.032415693347296014,1.827908079367934,1.8439979167224214,0.058767964411781226
0.036573004232683996,1.7212664139010092,1.7360321574331645,0.05736666246629897
0.04116526181889639,1.6228288670675644,1.636336593791599,0.05602547337107871
0.04623797115421405,1.531642203639541,1.5439694357933318,0.05473838213493613
0.05184139812178592,1.446912439221346,1.4581417026561911,0.05350031880210212
0.058031067528291624,1.3679712038473488,1.3781859043873097,0.052306974315379916
0.06486831330369865,1.2942504329863258,1.3035322518288543,0.05115465852378427
0.07242088626408752,1.2252630519755676,1.2336903454480015,0.050040189307082254
0.08076362545991551,1.1605880447667478,1.1682349118215452,0.04896080501083292
0.08997919976216237,1.0998587773629682,1.1067945717813095,0.047914094575933874
0.10015892703479518,1.0427537698147322,1.0490429077259666,0.04689794126264847
0.11140367901079724,0.9889893328257418,0.9946912945823201,0.04591047693527217
0.12382488083825047,0.9383136401381922,0.9434830978508664,0.04495004463456503
0.1375456152010534,0.8905019178003704,0.8951889415786198,0.04401516771560659
0.15270184195509526,0.8453525104118106,0.8496028211497554,0.043104524232021255
0.1694437453653592,0.8026836419294714,0.8065388886337579,0.04221692554639452
0.18793722229383403,0.7623307309535727,0.7658287776324837,0.04135129837058639
0.208365526084809,0.7241441519317985,0.727319363949898,0.04050666960905149
0.2309310824369415,0.687987357430062,0.6908708806455136,0.03968215350766476
0.25585749525572044,0.653735294623113,0.6563553230155859,0.038876940710250926
0.28339176236247715,0.6212730629536128,0.6236550921270947,0.03809028890247842
0.3138067230155826,0.5904947705675969,0.5926618356856256,0.03732151478343397
0.34740376149651403,0.5613025554347195,0.5632754529627251,0.036569987153042646
0.3845157935508425,0.5336057435732171,0.5354032367666376,0.03583512094150738
0.4255105652770236,0.5073201219431038,0.5089591304031406,0.035116372037336877
0.47079429715194504,0.4823673076597344,0.48386308153326035,0.03441323279498989
0.5208157093021718,0.45867419845166857,0.4600404780131507,0.033725228122964745
0.5760704679076252,0.4361724919179789,0.43742165336672856,0.03305191206928458
0.6371060967974641,0.41479826326806285,0.41594145162285623,0.03239286483452623
0.7045274029075673,0.3944915929573831,0.39553884294556957,0.03174769015340016
0.7790024693609091,0.37519623704554705,0.3761565828754953,0.031116012994869137
0.8612692755567404,0.3568593342620363,0.35774090914367096,0.030497477538253877
0.952143009867571,0.33943114471925984,0.34024127096308004,0.029891745389000312
1.0525241474060538,0.32286481600355765,0.3236100864859577,0.029298494003000858
1.1634073729050072,0.3071161730287128,0.3078025247662419,0.028717415292752704
1.2858914371281112,0.29214352858284404,0.29277630911034214,0.02814821439234455
1.4211900444792382,0.277907511955674,0.2784915391548849,0.027590608561406833
1.5706438796966167,0.2643709134140474,0.26491052939276555,0.027044326210834232
1.7357338928052934,0.251498542616393,0.25199766219125336,0.02650910603537095
1.9180959739695629,0.23925709932644976,0.23971925361827853,0.02598469624010179
2.119537163659649,0.22761505501499418,0.2280434306237431,0.025470853849568143
2.342053558760474,0.216542544132273,0.21694001831858936,0.02496734408967014
2.5878500920555867,0.20601126399646927,0.206380436261078,0.02447393983376052
2.85936238108274,0.1959943823864789,0.1963376028019408,0.023990421105411504
3.1592808628631746,0.18646645204349915,0.18678584666164266,0.023516574631268106
3.490577453657581,0.17740333138922545,0.17770082501713338,0.02305219343821094
3.8565349979223837,0.16878211085334235,0.16905944746487195,0.02259707648975536
4.260779798278434,0.16058104428059686,0.16083980530380582,0.022151028357227466
4.7073175488341645,0.15277948495073518,0.1530211056482692,0.021713858921792797
5.200573027929373,0.14535782579964804,0.1455836099380042,0.021285383103881544
5.745433943618243,0.13829744347622697,0.1385085764620363,0.020865420616963618
6.3472993663599775,0.13158064591321234,0.1317782065560838,0.020453795742985864
7.012133228840468,0.12519062312601847,0.1253755941704854,0.02005033712709847
7.746523423059007,0.1191114009829532,0.11928467853811058,0.019654877589574158
8.557747080277837,0.1133277977155085,0.11349019970004728,0.019267253953066863
9.45384268069875,0.10782538296570689,0.1079776566716291,0.01888730688357033
10.443689707407332,0.1025904391857738,0.10273326805305771,0.018514880743625613
11.537096633882122,0.09760992522206706,0.09774393490792636,0.01814982345649211
12.74489811694404,0.09287144192948146,0.09299720574970965,0.017791986380143433
14.079062358238701,0.08836319968408411,0.08848124349106745,0.017441224190078323
15.552809698105241,0.08407398766738922,0.08418479422387883,0.01709739477005103
17.180743616987723,0.0799931448037712,0.08009715770950195,0.0167603591099261
