Rex,Cf,Cf_analit,Cf_analit_turb
0.0007659121507160183,11.635212815642385,11.99633552468547,0.12429564695639492
0.0016119556585182133,9.099580208376656,8.269162722238425,0.10710779848724333
0.0025465140362970254,7.0930257491970865,6.579078169905852,0.09774678822201041
0.0035788478978799037,5.742431549420305,5.54966110223413,0.09131519751507358
0.004719186722195539,4.895780896560371,4.8328632111039225,0.0864009024777768
0.00597883021799999,4.313084149781554,4.293682957407616,0.08240782784355578
0.007370260293595903,3.8658044006137238,3.86720033518531,0.07903057575111985
0.008907264741061733,3.504684901689279,3.5177575467447153,0.07609267275190919
0.010605073860587913,3.204878440407581,3.2238975701095676,0.07348335416242043
0.012480511378741446,2.9501753448533914,2.971815841531388,0.07112875955970367
0.01455216115612012,2.7297382825340937,2.752164165899197,0.06897730338217689
0.016840551336315797,2.53617958129496,2.558349836268877,0.06699161535024133
0.019368357760933676,2.364243758803079,2.3855673623225977,0.06514380943569235
0.022160628666323172,2.210059843891492,2.230216607086669,0.06341256138678664
0.025245032888558387,2.0707024776285228,2.0895372289050984,0.061781226086862435
0.028652134036151147,1.9439117674432282,1.961370308634195,0.06023658137290828
0.032415693347296014,1.827908079367934,1.8439979167224214,0.058767964411781226
0.036573004232683996,1.7212664139010092,1.7360321574331645,0.05736666246629897
0.04116526181889639,1.6228288670675644,1.636336593791599,0.05602547337107871
0.04623797115421405,1.531642203639541,1.5439694357933318,0.05473838213493613
